Latin_name,Family,Leaf,Tair_(˚C),RH_(%),S_(W/m2),u_(m/s),gs_mmol/ms,Tl_(˚C)
Moringa stenopetala,Moringaceae,6,33.63,77.70,989,0.1,853.7,33.2
Moringa stenopetala,Moringaceae,6,32.23,78.27,874,0.1,NA,32.2
Moringa stenopetala,Moringaceae,7,33.63,77.70,984,3,926.7,32.6
Moringa stenopetala,Moringaceae,7,35.13,69.10,640,0.1,1011.6,30.6
Moringa stenopetala,Moringaceae,7,33.13,79.80,206,0.3,757.4,29.2
Moringa stenopetala,Moringaceae,7,35.57,69.50,639,0.7,1398.4,30.6
Moringa stenopetala,Moringaceae,7,31.03,89.47,122,0.1,NA,30.4
Moringa stenopetala,Moringaceae,7,34.63,71.13,961,0.7,NA,32.8
Moringa stenopetala,Moringaceae,7,32.23,78.27,815,0.1,808.4,33
Moringa stenopetala,Moringaceae,7,33.20,76.20,277,0.1,1079.6,30.8
Moringa stenopetala,Moringaceae,7,33.03,78.37,529,0.1,NA,29.4
Moringa stenopetala,Moringaceae,8,33.63,77.70,875,0.6,772.1,32.2
Moringa stenopetala,Moringaceae,8,33.20,76.20,983,0.1,985,35.8
Moringa stenopetala,Moringaceae,8,35.13,69.10,981,0.1,NA,34.2
Moringa stenopetala,Moringaceae,8,35.57,69.50,935,0.4,1256.9,33.4
Moringa stenopetala,Moringaceae,8,31.03,89.47,201,0.1,568.9,28.8
Moringa stenopetala,Moringaceae,8,33.03,78.37,463,0.1,NA,31.6
Moringa stenopetala,Moringaceae,8,33.13,79.80,500,0.1,472.2,31
Moringa stenopetala,Moringaceae,8,34.63,71.13,955,0.1,NA,34.6
Moringa stenopetala,Moringaceae,8,32.23,78.27,316,0.6,NA,32.4
Phaleria macrocarpa,Thymelaceae,1,35.30,80.57,971,0.1,330.8,40.4
Phaleria macrocarpa,Thymelaceae,1,31.77,88.43,615,0.1,203.7,37.8
Phaleria macrocarpa,Thymelaceae,1,31.80,90.33,917,1,235.3,39.2
Phaleria macrocarpa,Thymelaceae,1,31.70,85.23,937,0.1,225.3,38.6
Phaleria macrocarpa,Thymelaceae,1,31.50,91.27,139,0.1,205.8,31.6
Phaleria macrocarpa,Thymelaceae,1,31.73,96.43,108,0.1,128.9,31.8
Phaleria macrocarpa,Thymelaceae,1,31.97,88.97,498,0.1,56.8,34.2
Phaleria macrocarpa,Thymelaceae,1,31.90,92.20,102,0.1,54.1,32
Phaleria macrocarpa,Thymelaceae,2,31.80,90.33,781,0.1,429.6,37.6
Phaleria macrocarpa,Thymelaceae,2,35.30,80.57,997,0.4,383.5,39.8
Phaleria macrocarpa,Thymelaceae,2,31.77,88.43,603,0.1,356.8,35.6
Phaleria macrocarpa,Thymelaceae,2,31.73,96.43,107,0.1,360,31.6
Phaleria macrocarpa,Thymelaceae,2,31.70,85.23,944,0.1,NA,37.6
Phaleria macrocarpa,Thymelaceae,2,31.50,91.27,608,0.1,358.5,35.8
Phaleria macrocarpa,Thymelaceae,2,31.97,88.97,480,0.1,144.8,35.8
Phaleria macrocarpa,Thymelaceae,3,31.80,90.33,895,0.1,NA,38.8
Phaleria macrocarpa,Thymelaceae,3,31.77,88.43,631,0.1,304.9,36.8
Phaleria macrocarpa,Thymelaceae,3,31.90,92.20,316,0.1,61.1,33.2
Phaleria macrocarpa,Thymelaceae,3,31.70,85.23,869,0.3,290.1,39.6
Phaleria macrocarpa,Thymelaceae,3,35.30,80.57,1006,0.1,236.1,40.2
Phaleria macrocarpa,Thymelaceae,3,31.73,96.43,106,0.1,171.8,31.8
Phaleria macrocarpa,Thymelaceae,4,31.80,90.33,754,0.5,243.8,34.8
Phaleria macrocarpa,Thymelaceae,4,31.90,92.20,129,0.1,NA,33.6
Phaleria macrocarpa,Thymelaceae,4,31.77,88.43,468,0.1,NA,34.6
Phaleria macrocarpa,Thymelaceae,4,31.50,91.27,545,0.3,NA,34.6
Phaleria macrocarpa,Thymelaceae,4,35.30,80.57,734,0.1,466.7,37.4
Phaleria macrocarpa,Thymelaceae,4,31.70,85.23,769,0.1,337.7,36.6
Phaleria macrocarpa,Thymelaceae,4,31.73,96.43,112,0.1,NA,31.8
Phaleria macrocarpa,Thymelaceae,5,31.80,90.33,824,0.1,360.6,36.2
Phaleria macrocarpa,Thymelaceae,5,31.27,88.13,107,0.1,NA,31
Phaleria macrocarpa,Thymelaceae,5,31.90,92.20,179,0.1,141.9,34.4
Phaleria macrocarpa,Thymelaceae,5,31.50,91.27,611,0.8,338.5,34.5
Phaleria macrocarpa,Thymelaceae,5,31.77,88.43,606,0.1,NA,36.6
Phaleria macrocarpa,Thymelaceae,5,31.70,85.23,915,0.1,NA,35.8
Phaleria macrocarpa,Thymelaceae,5,35.30,80.57,980,0.7,357.9,39.7
Phaleria macrocarpa,Thymelaceae,5,31.73,96.43,587,0.1,NA,33.3
Phaleria macrocarpa,Thymelaceae,6,31.77,88.43,608,0.1,339.3,36.4
Phaleria macrocarpa,Thymelaceae,6,31.50,91.27,736,0.7,390.1,36
Phaleria macrocarpa,Thymelaceae,6,31.80,90.33,949,0.2,NA,38.4
Phaleria macrocarpa,Thymelaceae,6,31.70,85.23,970,1,423.6,35.6
Phaleria macrocarpa,Thymelaceae,6,31.27,88.13,138,0.1,240.3,31.4
Phaleria macrocarpa,Thymelaceae,6,35.30,80.57,987,0.1,416.3,39.4
Phaleria macrocarpa,Thymelaceae,6,31.73,96.43,218,0.8,298.7,35.2
Phaleria macrocarpa,Thymelaceae,7,31.70,85.23,966,1,365.2,39.8
Phaleria macrocarpa,Thymelaceae,7,35.30,80.57,963,0.1,181.7,37.8
Phaleria macrocarpa,Thymelaceae,7,31.77,88.43,624,0.1,NA,36.8
Phaleria macrocarpa,Thymelaceae,7,31.80,90.33,738,0.2,325,39.2
Phaleria macrocarpa,Thymelaceae,7,31.27,88.13,325,0.1,242.9,31.6
Phaleria macrocarpa,Thymelaceae,7,31.73,96.43,706,0.2,241.5,36.2
Phaleria macrocarpa,Thymelaceae,7,31.50,91.27,581,0.1,401.5,37.4
